,code,var_name
103,24550085622,Milking machines Import Value
104,24550155922,"Milking, dairy machinery (trade) Export Value"
105,24550135607,Other Agricultural tractors (two-axle tractors) Import Quantity
106,24550135622,Other Agricultural tractors (two-axle tractors) Import Value
107,24550135907,Other Agricultural tractors (two-axle tractors) Export Quantity
108,24550135922,Other Agricultural tractors (two-axle tractors) Export Value
109,24550105607,Pedestrian controlled tractors (single axle tractors) Import Quantity
110,24550105622,Pedestrian controlled tractors (single axle tractors) Import Value
111,24550105907,Pedestrian controlled tractors (single axle tractors) Export Quantity
112,24550105922,Pedestrian controlled tractors (single axle tractors) Export Value
113,24550015116,Ploughs (e.g. reversible and non-reversible ploughs) In Use
114,24550015607,Ploughs (e.g. reversible and non-reversible ploughs) Import Quantity
115,24550015622,Ploughs (e.g. reversible and non-reversible ploughs) Import Value
116,24550015907,Ploughs (e.g. reversible and non-reversible ploughs) Export Quantity
117,24550015922,Ploughs (e.g. reversible and non-reversible ploughs) Export Value
118,24550065607,Root or tuber harvesting machines Import Quantity
119,24550065622,Root or tuber harvesting machines Import Value
120,24550025607,"Seeders, planters and transplanters Import Quantity"
121,24550025622,"Seeders, planters and transplanters Import Value"
122,24550025907,"Seeders, planters and transplanters Export Quantity"
123,24550025922,"Seeders, planters and transplanters Export Value"
124,24550165922,Soil working equipment (trade) Export Value
125,24550075607,Threshing machines Import Quantity
126,24550075622,Threshing machines Import Value
127,24550125607,Track-laying tractors (crawlers) Import Quantity
128,24550125622,Track-laying tractors (crawlers) Import Value
129,24550125907,Track-laying tractors (crawlers) Export Quantity
130,24550125922,Track-laying tractors (crawlers) Export Value
131,24550055116,Balers (straw and fodder balers including pick-up balers) In Use
132,24550055907,Balers (straw and fodder balers including pick-up balers) Export Quantity
133,24550055922,Balers (straw and fodder balers including pick-up balers) Export Value
134,24550045907,Combine harvesters - threshers Export Quantity
135,24550045922,Combine harvesters - threshers Export Value
136,24550085922,Milking machines Export Value
137,24550135116,Other Agricultural tractors (two-axle tractors) In Use
138,24550105116,Pedestrian controlled tractors (single axle tractors) In Use
139,24550075907,Threshing machines Export Quantity
140,24550075922,Threshing machines Export Value
141,24550085116,Milking machines In Use
142,24550085907,Milking machines Export Quantity
143,24550065907,Root or tuber harvesting machines Export Quantity
144,24550065922,Root or tuber harvesting machines Export Value
145,24550065116,Root or tuber harvesting machines In Use
146,24550035116,Manure spreaders and Fertiliser distributors In Use
147,24550125116,Track-laying tractors (crawlers) In Use
148,24550115607,Agricultural tractors Import Quantity
149,24550115622,Agricultural tractors Import Value
150,24550115907,Agricultural tractors Export Quantity
151,24550115922,Agricultural tractors Export Value
152,22222222,Standard local currency units per USD
153,2215530,"Almonds, with shell Producer Price (LCU/tonne)"
154,5155530,Apples Producer Price (LCU/tonne)
155,5265530,Apricots Producer Price (LCU/tonne)
156,3665530,Artichokes Producer Price (LCU/tonne)
157,445530,Barley Producer Price (LCU/tonne)
158,1765530,"Beans, dry Producer Price (LCU/tonne)"
159,4145530,"Beans, green Producer Price (LCU/tonne)"
160,1815530,"Broad beans, horse beans, dry Producer Price (LCU/tonne)"
161,3585530,Cabbages and other brassicas Producer Price (LCU/tonne)
162,4615530,Carobs Producer Price (LCU/tonne)
163,4265530,Carrots and turnips Producer Price (LCU/tonne)
164,3935530,Cauliflowers and broccoli Producer Price (LCU/tonne)
165,5315530,Cherries Producer Price (LCU/tonne)
166,1915530,Chick peas Producer Price (LCU/tonne)
167,6895530,"Chillies and peppers, dry Producer Price (LCU/tonne)"
168,4015530,"Chillies and peppers, green Producer Price (LCU/tonne)"
169,7675530,Cotton lint Producer Price (LCU/tonne)
170,3295530,Cottonseed Producer Price (LCU/tonne)
171,3975530,Cucumbers and gherkins Producer Price (LCU/tonne)
172,5775530,Dates Producer Price (LCU/tonne)
173,3995530,Eggplants (aubergines) Producer Price (LCU/tonne)
174,10625530,"Eggs, hen, in shell Producer Price (LCU/tonne)"
175,5695530,Figs Producer Price (LCU/tonne)
176,5125530,"Fruit, citrus nes Producer Price (LCU/tonne)"
177,6195530,"Fruit, fresh nes Producer Price (LCU/tonne)"
178,4065530,Garlic Producer Price (LCU/tonne)
179,5075530,Grapefruit (inc. pomelos) Producer Price (LCU/tonne)
180,5605530,Grapes Producer Price (LCU/tonne)
181,2425530,"Groundnuts, with shell Producer Price (LCU/tonne)"
182,11825530,"Honey, natural Producer Price (LCU/tonne)"
183,4975530,Lemons and limes Producer Price (LCU/tonne)
184,2015530,Lentils Producer Price (LCU/tonne)
185,565530,Maize Producer Price (LCU/tonne)
186,11385530,"Meat live weight, camel Producer Price (LCU/tonne)"
187,9455530,"Meat live weight, cattle Producer Price (LCU/tonne)"
188,10955530,"Meat live weight, chicken Producer Price (LCU/tonne)"
189,10335530,"Meat live weight, goat Producer Price (LCU/tonne)"
190,11215530,"Meat live weight, horse Producer Price (LCU/tonne)"
191,10565530,"Meat live weight, pig Producer Price (LCU/tonne)"
192,11455530,"Meat live weight, rabbit Producer Price (LCU/tonne)"
193,10135530,"Meat live weight, sheep Producer Price (LCU/tonne)"
194,11305530,"Milk, whole fresh camel Producer Price (LCU/tonne)"
195,8825530,"Milk, whole fresh cow Producer Price (LCU/tonne)"
196,10205530,"Milk, whole fresh goat Producer Price (LCU/tonne)"
197,9825530,"Milk, whole fresh sheep Producer Price (LCU/tonne)"
198,755530,Oats Producer Price (LCU/tonne)
199,2605530,Olives Producer Price (LCU/tonne)
200,4035530,"Onions, dry Producer Price (LCU/tonne)"
201,4025530,"Onions, shallots, green Producer Price (LCU/tonne)"
202,4905530,Oranges Producer Price (LCU/tonne)
203,5345530,Peaches and nectarines Producer Price (LCU/tonne)
204,5215530,Pears Producer Price (LCU/tonne)
205,1875530,"Peas, dry Producer Price (LCU/tonne)"
206,4175530,"Peas, green Producer Price (LCU/tonne)"
207,5365530,Plums and sloes Producer Price (LCU/tonne)
208,1165530,Potatoes Producer Price (LCU/tonne)
209,3945530,"Pumpkins, squash and gourds Producer Price (LCU/tonne)"
210,2705530,Rapeseed Producer Price (LCU/tonne)
211,275530,"Rice, paddy Producer Price (LCU/tonne)"
