identifier,column_name,percent_missing
210326125,210326125,0.0
220166110,220166110,6.612685560053981
220166129,220166129,6.6396761133603235
220166139,220166139,6.612685560053981
220166182,220166182,6.6396761133603235
220306110,220306110,9.7165991902834
220306129,220306129,9.7165991902834
220306139,220306139,9.7165991902834
220306159,220306159,9.7165991902834
220306161,220306161,9.7165991902834
220306182,220306182,9.7165991902834
230686110,230686110,46.936572199730094
230686129,230686129,48.232118758434545
230686139,230686139,45.802968960863694
230686159,230686159,45.802968960863694
230686182,230686182,48.232118758434545
230706110,230706110,32.41565452091768
230706129,230706129,32.928475033738195
230706139,230706139,32.41565452091768
230706159,230706159,32.63157894736842
230806110,230806110,74.03508771929825
230806129,230806129,80.91767881241566
230806139,230806139,74.0620782726046
230806182,230806182,80.91767881241566
231616110,231616110,39.94601889338731
231616129,231616129,42.99595141700405
231616182,231616182,42.99595141700405
2201661840,2201661840,6.612685560053981
2203061840,2203061840,9.7165991902834
2306861840,2306861840,46.936572199730094
2307061980,2307061980,32.41565452091768
2308061840,2308061840,74.03508771929825
2316161840,2316161840,39.94601889338731
24550015116,24550015116,93.11740890688259
24550015607,24550015607,75.84345479082322
24550015622,24550015622,67.93522267206478
24550015907,24550015907,85.2361673414305
24550015922,24550015922,81.53846153846153
24550025116,24550025116,94.73684210526316
24550025607,24550025607,76.86909581646424
24550025622,24550025622,70.17543859649123
24550025907,24550025907,85.77597840755736
24550025922,24550025922,82.9689608636977
24550035116,24550035116,96.54520917678812
24550035607,24550035607,81.43049932523617
24550035622,24550035622,71.25506072874494
24550035907,24550035907,87.8272604588394
24550035922,24550035922,84.96626180836707
24550045116,24550045116,87.50337381916329
24550045607,24550045607,78.81241565452092
24550045622,24550045622,73.87314439946019
24550045907,24550045907,86.58569500674764
24550045922,24550045922,84.69635627530364
24550055116,24550055116,95.49257759784075
24550055607,24550055607,79.2442645074224
24550055622,24550055622,74.08906882591093
24550055907,24550055907,87.17948717948718
24550055922,24550055922,85.02024291497976
24550065116,24550065116,97.00404858299595
24550065607,24550065607,84.45344129554655
24550065622,24550065622,80.3778677462888
24550065907,24550065907,89.63562753036437
24550065922,24550065922,87.96221322537112
24550075116,24550075116,96.2753036437247
24550075607,24550075607,82.29419703103913
24550075622,24550075622,74.30499325236167
24550075907,24550075907,89.77058029689609
24550075922,24550075922,87.20647773279352
24550085116,24550085116,94.49392712550608
24550085607,24550085607,86.26180836707152
24550085622,24550085622,74.30499325236167
24550085907,24550085907,93.65721997300945
24550085922,24550085922,87.01754385964912
24550095116,24550095116,92.90148448043185
24550095607,24550095607,61.59244264507422
24550095622,24550095622,61.40350877192982
24550095907,24550095907,71.90283400809717
24550095922,24550095922,71.65991902834008
24550105116,24550105116,95.7085020242915
24550105607,24550105607,77.94871794871794
24550105622,24550105622,70.8502024291498
24550105907,24550105907,87.63832658569501
24550105922,24550105922,84.4804318488529
24550115116,24550115116,81.91632928475033
24550115607,24550115607,99.94601889338732
24550115622,24550115622,99.94601889338732
24550115907,24550115907,99.97300944669365
24550115922,24550115922,99.97300944669365
24550125116,24550125116,97.81376518218623
24550125607,24550125607,79.43319838056681
24550125622,24550125622,72.6855600539811
24550125907,24550125907,86.9365721997301
24550125922,24550125922,83.58974358974359
24550135116,24550135116,97.32793522267207
24550135607,24550135607,72.84750337381917
24550135622,24550135622,65.8029689608637
24550135907,24550135907,78.89338731443995
24550135922,24550135922,74.33198380566802
24550145622,24550145622,62.32118758434548
24550145922,24550145922,72.36167341430499
24550155622,24550155622,66.23481781376518
24550155922,24550155922,80.05398110661268
24550165622,24550165622,63.23886639676113
24550165922,24550165922,74.17004048582996
24550175622,24550175622,63.29284750337382
24550175922,24550175922,74.68286099865047
22222222,22222222,0.9986504723346828
155530,155530,100.0
275530,275530,100.0
445530,445530,100.0
565530,565530,100.0
685530,685530,100.0
715530,715530,100.0
755530,755530,100.0
795530,795530,100.0
835530,835530,100.0
895530,895530,100.0
925530,925530,100.0
945530,945530,100.0
975530,975530,100.0
1015530,1015530,100.0
1035530,1035530,100.0
1085530,1085530,100.0
1165530,1165530,100.0
1225530,1225530,100.0
